pl_name,PC1,PC2,PC3,PC4,Cluster_K4,Familia_Planeta
HD 28109 d,3.2118034387596333,0.4761684384930063,-1.5365438030428888,-0.3615307806736818,0,Familia 0 (Población Intermedia)
HD 260655 b,-1.9848163880479053,2.22933453237746,-0.0424673541854071,-1.0547791737412826,3,Familia 3 (Población Mayoritaria)
HD 260655 c,-1.5286646922246163,2.4976114728458296,-0.0999242352554931,-1.0052499106472763,3,Familia 3 (Población Mayoritaria)
TOI-3714 b,-1.4781152775122892,0.6089338515098554,0.116613160719819,0.9988083104479344,3,Familia 3 (Población Mayoritaria)
TOI-3629 b,-0.9889047021343864,0.41667054667906,0.1377028393720323,1.6044467196410097,3,Familia 3 (Población Mayoritaria)
TOI-4479 b,-1.7850950996311843,0.7454073666225125,0.4899512266713398,-0.1340099377757649,3,Familia 3 (Población Mayoritaria)
TOI-2081 b,-0.5090199962811816,1.750487992634331,-0.1455824242906041,-1.689594386272543,3,Familia 3 (Población Mayoritaria)
TOI-1272 b,-0.4491570398043286,-0.1389641118982783,1.8919124534324605,-0.0657549097308589,3,Familia 3 (Población Mayoritaria)
TOI-5153 b,1.7212594791319975,-0.9180865309454356,-0.2882414064503234,0.310997581304772,1,Familia 1 (Población Secundaria)
NGTS-20 b,4.663566072805545,-1.0296237629929166,1.3794048309435432,-0.1849389399342793,0,Familia 0 (Población Intermedia)
HD 93963 A b,-1.502423163542338,-1.258056686235984,-0.6134067189746197,-0.3829238251084127,1,Familia 1 (Población Secundaria)
HD 93963 A c,-0.73634275710603,-0.7989913603252085,-0.5955060256766085,-0.0908619508811103,1,Familia 1 (Población Secundaria)
TOI-128.01,-0.463157873302858,-0.6656317832372836,-0.2223747405251669,-0.9651685173557416,1,Familia 1 (Población Secundaria)
TOI-139 b,-0.3795277317951505,1.327245748077882,-0.3221863877952153,-0.8118837965392423,3,Familia 3 (Población Mayoritaria)
GJ 3090 b,-1.1503582794899947,0.9987438762035294,1.3751555412157794,0.1583643724347518,3,Familia 3 (Población Mayoritaria)
HD 18599 b,-0.3392822853153471,-0.0311692470740949,1.7784791150068744,-0.4741784955572391,3,Familia 3 (Población Mayoritaria)
TOI-181 b,-0.4950957768907969,-0.0416873656616915,0.6456023979042181,0.8246241180929917,3,Familia 3 (Población Mayoritaria)
TOI-199 b,4.438958784550843,1.8609265128498709,-1.070093081299901,0.953940977119336,0,Familia 0 (Población Intermedia)
TOI-238 b,-1.6283281191664205,-0.1333268241597351,-0.0852166029500422,-0.7804596819870847,3,Familia 3 (Población Mayoritaria)
TOI-244 b,-1.0894602011022732,2.057787197713409,-0.1987414325930265,-1.2267984846979094,3,Familia 3 (Población Mayoritaria)
TOI-261.01,-0.7530497693537952,-1.4766416365447972,-0.3493980719086676,-0.76498334217665,1,Familia 1 (Población Secundaria)
TOI-262 b,0.8457748764999264,0.6874979847651815,-0.73350992803842,0.5349553795006544,3,Familia 3 (Población Mayoritaria)
HIP 8152 b,0.0425741136640128,0.1808573836578877,-0.7614537660600733,-0.4065719198560616,3,Familia 3 (Población Mayoritaria)
HIP 8152 c,1.1381817389950883,0.5636315680499732,0.4309682282668537,-0.5244741262364748,3,Familia 3 (Población Mayoritaria)
TOI-277 b,-1.4826422563504085,1.5166034498323755,0.375327022357521,-0.0673208106993552,3,Familia 3 (Población Mayoritaria)
TOI-283 b,0.4060323226446347,0.8754051172777978,-0.8499146492503034,-0.6003320488950248,3,Familia 3 (Población Mayoritaria)
TOI-286 b,-0.9892009033165609,0.3427121292663128,-0.580096716817824,-0.5314960558471514,3,Familia 3 (Población Mayoritaria)
TOI-286 c,1.6011559567613018,1.6377023510547115,-1.1615769677999317,-0.412466882327566,0,Familia 0 (Población Intermedia)
TOI-329 b,0.598320540562511,-1.4961982766947022,1.9362429350647976,-0.2933338119734497,1,Familia 1 (Población Secundaria)
TOI-332 b,-1.6149028705158526,-1.2846067100391505,-0.4008284771802471,0.569687567257519,1,Familia 1 (Población Secundaria)
TOI-333 b,-0.6204505954722304,-1.103195554685915,-0.6534651273653872,-0.4304891745805636,1,Familia 1 (Población Secundaria)
TOI-406.01,-0.5126095867526239,2.073368029887306,-0.0838136226849877,0.0173901882389097,3,Familia 3 (Población Mayoritaria)
TOI-406 c,-1.6323015746118583,1.5797207110642495,-0.1000807267445699,-0.1071686880070633,3,Familia 3 (Población Mayoritaria)
TOI-411 c,0.425199035831819,-0.1306109579559959,0.0376333292048309,-0.866477008901576,1,Familia 1 (Población Secundaria)
TOI-411 b,-0.5431156503702068,-0.6122086302565793,-0.3633156964385481,-0.8747244730391686,1,Familia 1 (Población Secundaria)
TOI-444 b,0.6075763987294258,0.9100927893307243,-0.5628229716510905,0.0424351905682519,3,Familia 3 (Población Mayoritaria)
HD 15906 b,0.0152235096167468,0.7442009915142256,0.0552517339956504,-0.3423994522983273,3,Familia 3 (Población Mayoritaria)
TOI-469.01,0.4667833181725152,0.108388268821701,-0.4202312018107879,0.2982976124712914,3,Familia 3 (Población Mayoritaria)
TOI-470 b,0.3964803692375753,0.5951861810180334,-0.4187194889040615,0.1017057511847204,3,Familia 3 (Población Mayoritaria)
TOI-480 b,0.1145451215630402,-1.3927764894235557,-0.820448521599771,-0.2543597793373439,1,Familia 1 (Población Secundaria)
TOI-512 b,-0.3934899771743707,0.2118810723367356,-0.6204313150088284,-0.9221984072491604,3,Familia 3 (Población Mayoritaria)
TOI-521 b,-2.1478893317901875,1.5411636895282188,-0.2163008389709071,-0.0828058498614395,3,Familia 3 (Población Mayoritaria)
HD 25463 b,0.0315367234337835,-1.0929037204740255,-0.858488406402718,-0.8673047706242957,1,Familia 1 (Población Secundaria)
HD 25463 c,-0.67416071500871,-1.478713288835632,-0.7983296754225299,-1.0349284330650186,1,Familia 1 (Población Secundaria)
