pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
pi Men c,0.10550674207597781,0.048817233287484656,-0.28680467189583714,-0.3296717806449116,-0.3071428571428571,0.27277442234098015,0.331539497980398,0.3577364463791057,0.43697787992118214,0.35258358662613987,0.07407407407407403,-0.1471389645776574
LHS 3844 b,-1.2649016694573127,-0.7962779651339739,-0.49460182967313315,-0.6432832705967435,-0.3071428571428571,-0.0189190900273259,-0.0856353591160221,-1.1819021237303786,-1.3491478902413883,-1.5096251266464031,0.5555555555555555,1.5967302452316086
HD 202772 A b,-0.34141550597706166,-0.08640102156105428,1.097028082373384,0.6941554843093957,-0.09285714285714283,1.0898628873797453,1.7997237569060773,0.59200633161852,1.9016682012571091,1.6717325227963526,0.6,-1.509536784741144
GJ 143 b,1.4878095852459021,1.8966003731823247,-0.15318807790953365,-0.0721298002968927,1.0357142857142858,-0.5106816133077847,-0.6298342541436464,-0.3587917161324364,-0.29646917027760394,-0.33637284701114495,-0.24814814814814815,0.3514986376021811
HD 23472 b,0.9119294087171792,0.8563224791397112,-0.2914974708900242,-0.34541747032260617,0.2071428571428571,-0.4372874117463851,-0.462707182320442,-0.33557578155916107,-0.27031140409534676,-0.4579533941236068,-1.0,0.12534059945504158
HD 23472 c,1.3399496208528336,1.5327213902747636,-0.32460007174854805,-0.5645272380302032,0.14285714285714288,-0.6183452116145288,-0.5676795580110497,-0.33557578155916107,-0.27031140409534676,-0.4579533941236068,-1.0,0.12534059945504158
HD 219666 b,0.07760556110836914,0.07789295806437159,0.2136325793509172,-0.14308276475767862,0.05000000000000004,0.24819325284584726,0.27348066298342544,0.11607967286637647,0.2810912901362116,0.2512664640324215,-0.08834822388445432,-0.32716238654172325
HD 1397 b,0.5715018533387356,0.7632570291448135,0.7749164413190562,0.4327173665139853,1.4857142857142858,0.4234206191960213,0.4838397790055248,0.10605461020973486,1.713733940975842,0.867274569402229,0.8148148148148147,-1.8010899182561309
TOI-172 b,0.4181812795990461,0.4982844928500499,0.7328839698868795,1.1830845118543165,2.4114285714285715,0.37424278867817795,0.4419889502762431,0.17148133491623796,1.1692362293824068,0.4701114488348528,0.2888888888888888,-1.3378746594005453
HD 221416 b,0.7405805927527427,0.9502668235034171,0.6207465342373187,0.20708728327963147,0.5142857142857143,0.6405174174235482,0.6264846863741184,-0.12663237039968342,2.2100409543767796,0.6403242147922997,-0.5555555555555556,-2.4523160762942777
HD 21749 c,0.268062557564068,0.17528350170609777,-0.6359551579383773,-0.5458785032965421,1.0492177996685468,-0.21177223739979933,-0.24447513812154695,-0.3587917161324364,-0.29646917027760394,-0.33637284701114495,-0.24814814814814815,0.3514986376021811
HD 15337 b,-0.09387110755978467,0.08280027668447114,-0.35110046147031954,-0.4082934350996196,0.10714285714285718,0.14619670021623582,0.13257676692505282,-0.0997229916897507,-0.028669734921828813,-0.1357649442755827,-0.14814814814814817,-0.010899182561306701
HD 15337 c,0.8893518651290351,0.9396422753129166,-0.17078069109582644,-0.3978503670195137,0.37857142857142856,-0.2828977780776067,-0.31450507406987915,-0.0997229916897507,-0.028669734921828813,-0.1357649442755827,-0.14814814814814817,-0.010899182561306701
L 98-59 b,-0.5816956960243891,-0.5439586024064755,-0.6579990182432333,-0.8882158962199184,-0.08571428571428569,-0.3226595573113272,-0.356353591160221,-1.0051444400474872,-1.0489809080644772,-1.2233029381965552,-1.962962962962963,1.160762942779292
L 98-59 c,-0.2688356598667473,-0.41046843569503766,-0.4806768308469474,-0.6773377628524888,-0.2928571428571428,-0.4983005489219473,-0.4861878453038674,-1.0051444400474872,-1.0489809080644772,-1.2233029381965552,-1.962962962962963,1.160762942779292
L 98-59 d,0.23441907792956085,-0.1270443538861708,-0.39070738693816337,-0.7147692633057832,-0.26428571428571423,-0.7331308707281347,-0.638121546961326,-1.0051444400474872,-1.0489809080644772,-1.2233029381965552,-1.962962962962963,1.160762942779292
HD 2685 b,-0.19281818016104832,-0.015071321854428842,1.0108234431137697,0.734788939437946,0.3428571428571428,0.8172100555076689,1.6339779005524862,0.7814272523413798,0.9276758356103019,1.0820668693009117,-0.18518518518518517,-0.7465940054495913
