pl_name,pl_orbper,pl_orbsmax,pl_rade,pl_bmasse,pl_orbeccen,pl_insol,pl_eqt,st_teff,st_rad,st_mass,st_met,st_logg
TOI-2120 b,5.7998164,0.0377,2.122,6.8,0.32,3.61,384.0,3131.0,0.245,0.211,0.39,4.985
TOI-2128 b,16.34136,0.127,2.08874836,4.5,0.0,,780.53,5968.0,1.1174,1.0251,-0.07,4.349
TOI-2133 b,3.8266472,0.041,2.37,,,,798.0,4250.0,0.62,0.644,-0.01,4.6
TOI-2134 b,9.2292005,0.078,2.69,9.13,0.06,32.0,666.0,4580.0,0.709,0.744,0.12,4.8
TOI-2134 c,95.5,0.371,7.27,41.89,0.67,1.4,306.0,4580.0,0.709,0.744,0.12,4.8
TOI-2136 b,7.851928,0.057,2.19,6.37,0.0,4.0,395.0,3342.0,0.34,0.34,0.03,4.91
TOI-2141 b,18.261608,0.1322,3.147,20.1,,47.3,728.0,5635.0,0.95,0.896,-0.14,4.4
TOI-2145 b,10.261128,0.1117,12.24020692,1805.26535176,0.214,,,6206.0,2.75,1.71,0.28,3.79
TOI-2147 b,26.20518,0.172,10.5,116.0,0.29,,820.0,5983.0,1.39,0.99,-0.29,4.2
TOI-2152 A b,3.3773512,0.05064,14.35870428,899.45439181,0.057,,1802.0,6630.0,1.612,1.516,0.282,4.205
TOI-2154 b,3.8240801,0.0513,16.28664896,292.40213444,0.117,,1580.0,6280.0,1.396,1.233,0.011,4.239
TOI-2158 b,8.60077,0.075,10.76062147,260.61929374,0.07,,1188.0,5673.0,1.41,1.12,0.47,4.19
TOI-2169 A b,8.2148282,0.0896,12.50922246,329.58805806,0.045,577.0,1364.0,6270.0,1.82,1.42,0.123,4.069
TOI-2180 b,260.79,0.828,11.32107051,875.61726129,0.3683,2.71,348.0,5695.0,1.636,1.111,0.253,4.057
TOI-2184 b,6.90683,,11.39953337,206.58846455,0.08,1429.0,,5966.0,2.9,1.53,0.14,3.7
TOI-2193 A b,2.1225735,0.03319,19.83989584,298.75870258,0.0,1600.0,1763.0,5966.0,1.248,1.082,0.027,4.278
TOI-2194 b,15.337597,,1.9892,,,,590.88,4756.0,0.6909,0.74,-0.372,4.698
TOI-2196 b,1.1947268,0.02234,3.51,26.0,0.0,2000.0,1860.0,5634.0,1.043,1.032,0.14,4.42
TOI-220 b,10.695264,0.08911,3.03,13.8,0.032,,805.0,5298.0,0.858,0.825,-0.217,4.37
TOI-2202 b,11.9126075,,10.95117414,287.31687993,0.022,,,5169.0,0.808,0.841,0.059,4.548
TOI-2207 b,8.001968,0.0854,11.1529358,203.41018048,0.174,406.0,1259.0,6101.0,1.564,1.296,0.181,4.161
TOI-2236 b,3.5315902,0.05009,14.36991326,502.16888306,0.0,1356.0,1688.0,6248.0,1.573,1.343,0.119,4.172
