pl_name,PC1,PC2,PC3,PC4
AU Mic b,-0.3739500735237739,0.6303948687305394,-0.10573375036173155,-0.09896409774926972
AU Mic c,0.6118085869428115,1.1055428704724044,0.4138143236219283,-0.21405209330388367
BD+05 4868 A b,-1.836488192909768,-0.24454783559903057,-0.4700415341869341,-0.4938831133840919
BD-14 3065 b,0.4820233322702784,-3.167789258820194,-0.3375704289812073,-1.5675462904015154
DS Tuc A b,-0.07175222902870688,-0.14411120747974349,-0.6395847603938658,-0.11550648180540236
GJ 1252 b,-2.4267556441283427,1.1598987518188588,-0.28604538429365833,0.3840311427661979
GJ 143 b,1.5713826885069804,1.5839327774104557,0.2443480249621039,-0.06754936234750505
GJ 238 b,-2.0255379162992693,1.3757399556970171,-0.2311363885464236,0.5193329263806705
GJ 3090 b,-1.2085575337677945,1.0185888606646807,1.2243453654675462,0.14319957067724245
GJ 341 b,-1.0780705451831107,1.7890093873310577,-0.5366774055978097,-0.5147016487633657
GJ 3473 b,-2.2049258662814277,1.380248057716833,-0.2724995457493851,0.4545265211544038
GJ 357 b,-1.5908587484292336,2.158486639609545,0.226746978132263,-0.24351541963037215
GJ 367 b,-2.5328341746799454,0.9634691570452998,-0.427679888041971,-0.42243640009812794
GJ 3929 b,-1.97636428730409,1.9608650070576266,-0.3128503155893796,0.1175463540939069
GJ 806 b,-2.3534198040307577,1.5843455230247108,-0.3253855164837345,-0.7498112238467571
Gliese 12 b,-1.121812624349366,3.1989051268455584,1.0974914667916964,-0.6290381048223157
HD 101581 b,-1.2008546671428608,1.102366781246802,-0.48551211788309084,-1.3566745195006247
HD 101581 c,-0.9450107451771877,1.2575220277582717,-0.4579983900525549,-1.351310498556161
HD 108236 b,-0.9615484190925102,0.042165618596301344,-0.46078072845814233,-1.4272212022470399
HD 108236 c,-0.605621681923252,0.24970518015204882,-0.5661589997522364,-1.3513320551623087
HD 108236 e,0.7451643498078645,0.864653474908408,-0.5919122099411187,-1.1490332915323072
HD 109833 b,0.3418855943704913,-0.09268608524212509,0.3124906245990818,-0.7839790227772779
HD 109833 c,0.8166881102969621,0.042303364915941666,1.0491140085594632,-0.8638134643320065
HD 110082 b,0.8240380486806917,-0.8623561709357622,0.34718474532328797,-0.5403289441378435
HD 110113 b,-1.0146092982874022,-0.7571992679337647,-0.023550520975240637,-0.20651867786494274
HD 1397 b,1.4253497414276513,-2.3159908825397304,0.7774527221425827,0.04108843331368243
